Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP1Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIPFlexion1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP2Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP2Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP3Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP3Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP4Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP4Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.CMC5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.MCP5Abduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.PIP5Flexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightDetailedHand.DIP5Flexion
  7.000000000000000e-01,  9.045956089776432e-01, -7.824084643727833e-02, -3.948938725278719e-02,  3.542502959854991e-01,  2.366161068676646e-01, -4.801233752094769e-04, -5.625238015338135e-02,  3.564785557359205e-01,  2.153265695711316e-01,  6.971735090481831e-01,  7.988622204496516e-03, -1.662683680582895e-04,  8.347075880702497e-05,  1.508186351695371e-01,  1.409244093586532e-01,  3.659608434112160e-01,  7.988622204496516e-03, -5.097157538182503e-04,  9.137693811869810e-02,  3.291846517487331e-01,  6.399564664366231e-02,  1.657643544699473e-02, -2.679993251210321e-02,  4.935659142573425e-04,  5.258621778985052e-02,  4.628466705932886e-01, -1.118747108606915e-01,  6.673360844598610e-02,  4.182739075230323e-01
  7.100000000000000e-01,  9.054723791019403e-01, -7.748753129712652e-02, -3.980017963210085e-02,  3.533627984181313e-01,  2.365789355092399e-01, -4.798997335574842e-04, -5.607684197252710e-02,  3.505969432054115e-01,  2.155219996187263e-01,  6.930229944382349e-01,  8.462741396217343e-03, -1.659856099181544e-04,  8.259659482986565e-05,  1.459619345592892e-01,  1.403928109831401e-01,  3.663460220836406e-01,  8.462741396217343e-03, -5.094099892654750e-04,  9.100234207307815e-02,  3.288669664402825e-01,  6.137857002494145e-02,  1.754059573542294e-02, -2.636470675390657e-02,  4.933132703512845e-04,  5.210887263269549e-02,  4.625333501034954e-01, -1.126566403113504e-01,  6.589775376314928e-02,  4.184545006964361e-01
  7.200000000000000e-01,  9.061303344437698e-01, -7.663816806138322e-02, -4.060888986117148e-02,  3.529611686497053e-01,  2.363993676883514e-01, -4.786719652495046e-04, -5.573016844801108e-02,  3.432591504105658e-01,  2.165333887638022e-01,  6.867849434812748e-01,  9.158425052469259e-03, -1.648978267857330e-04,  8.230364449570855e-05,  1.405993387130630e-01,  1.402891919797711e-01,  3.665943420706088e-01,  9.158425052469259e-03, -5.087782390823607e-04,  9.037387289429992e-02,  3.285908955374618e-01,  5.849692132879610e-02,  1.907941200897863e-02, -2.563701502089549e-02,  4.920453301680028e-04,  5.112526158200216e-02,  4.618073399323345e-01, -1.132780073147847e-01,  6.462334452643942e-02,  4.184361510171219e-01
  7.300000000000000e-01,  9.062092443822765e-01, -7.607257742407779e-02, -4.195700662858261e-02,  3.527044287140726e-01,  2.358590669107236e-01, -4.769515619792649e-04, -5.529400666220548e-02,  3.341468739412746e-01,  2.181837310125782e-01,  6.777352736813003e-01,  1.009392594158957e-02, -1.633057409689434e-04,  8.271329760664402e-05,  1.346022954118510e-01,  1.404799848845560e-01,  3.668400740700410e-01,  1.009392594158957e-02, -5.080938101611600e-04,  8.965907245663246e-02,  3.287457795082533e-01,  5.498851432109194e-02,  2.120645727131348e-02, -2.461766025654588e-02,  4.901646254738459e-04,  4.995924453252533e-02,  4.609989795108955e-01, -1.143065787219568e-01,  6.269418325603481e-02,  4.180452912085306e-01
  7.400000000000000e-01,  9.054106709459921e-01, -7.612058467285224e-02, -4.393241607053577e-02,  3.522850000205012e-01,  2.347998049525169e-01, -4.751078965613336e-04, -5.482272545500820e-02,  3.229328392305369e-01,  2.202996645846705e-01,  6.651082600697430e-01,  1.126643632580914e-02, -1.614469692923567e-04,  8.387722937932002e-05,  1.278151349271623e-01,  1.408467175042349e-01,  3.671617719196784e-01,  1.126643632580914e-02, -5.074958249684355e-04,  8.897708342444340e-02,  3.295903366416559e-01,  5.063333749091008e-02,  2.385383129144595e-02, -2.333939835069792e-02,  4.879213087848681e-04,  4.884409012360971e-02,  4.603650005010265e-01, -1.161986116757256e-01,  5.984986633937187e-02,  4.171423541495148e-01
  7.500000000000000e-01,  9.034977970928545e-01, -7.707188945696432e-02, -4.663711601908279e-02,  3.514476484498389e-01,  2.330849836529763e-01, -4.733848326048380e-04, -5.434016636928105e-02,  3.093493963342630e-01,  2.227031340015223e-01,  6.481425232978162e-01,  1.264571894484962e-02, -1.595245133879010e-04,  8.581957658788979e-05,  1.200760856745434e-01,  1.412910000838987e-01,  3.675824759335168e-01,  1.264571894484962e-02, -5.070012442764226e-04,  8.840724804832188e-02,  3.312231464050795e-01,  4.536987248034971e-02,  2.685039630623554e-02, -2.188071091158709e-02,  4.854594294925851e-04,  4.793055307714404e-02,  4.600806782545402e-01, -1.192786865236418e-01,  5.578700484016439e-02,  4.156072049235519e-01
  7.600000000000000e-01,  9.002724573129199e-01, -7.916971348782065e-02, -5.011373635158310e-02,  3.499616068462557e-01,  2.305888249689599e-01, -4.718858979086144e-04, -5.384516590360294e-02,  2.932518356866246e-01,  2.252151271862667e-01,  6.261263084812787e-01,  1.417964467759885e-02, -1.577601708143595e-04,  8.851543870883764e-05,  1.112264373754795e-01,  1.417407784796134e-01,  3.680747401244367e-01,  1.417964467759885e-02, -5.065981327215428e-04,  8.799028966676763e-02,  3.335589954691753e-01,  3.930963978142561e-02,  2.993296912593726e-02, -2.037175003754726e-02,  4.828115491771208e-04,  4.729122004030673e-02,  4.602142267327530e-01, -1.237115145179686e-01,  5.018367395343462e-02,  4.133418848396696e-01
  7.700000000000000e-01,  8.955562590883979e-01, -8.264936346205322e-02, -5.440317607780958e-02,  3.476817075632748e-01,  2.272546365832749e-01, -4.707683197350110e-04, -5.330405325039517e-02,  2.746277726573899e-01,  2.275932253373485e-01,  5.985758794555947e-01,  1.577823722082278e-02, -1.564238693106699e-04,  9.197942089820346e-05,  1.011178289337067e-01,  1.421248571046096e-01,  3.685889697515392e-01,  1.577823722082278e-02, -5.061656827538765e-04,  8.775021822314216e-02,  3.363782595653705e-01,  3.265432560838955e-02,  3.274904747738538e-02, -1.901490431382603e-02,  4.801764064951927e-04,  4.695032311520246e-02,  4.608013722894354e-01, -1.295422664278763e-01,  4.265531539353240e-02,  4.102138878047937e-01
  7.800000000000000e-01,  8.893284877290718e-01, -8.780585495748935e-02, -5.959939249340556e-02,  3.445908043123710e-01,  2.228831142275232e-01, -4.697231097401618e-04, -5.266857993815766e-02,  2.537840042806236e-01,  2.295749302348510e-01,  5.651502481585334e-01,  1.733244981897872e-02, -1.556197546837908e-04,  9.610670005750451e-05,  8.969764408107669e-02,  1.423869401573624e-01,  3.690270006709311e-01,  1.733244981897872e-02, -5.058487181384444e-04,  8.768712304857830e-02,  3.393435591491055e-01,  2.568947566931654e-02,  3.494091978249173e-02, -1.795918774029809e-02,  4.774649591378727e-04,  4.689742139483253e-02,  4.617135360845961e-01, -1.366683403143062e-01,  3.295776915893554e-02,  4.061264028871335e-01
  7.900000000000000e-01,  8.814982284702872e-01, -9.480985249123745e-02, -6.566415891209981e-02,  3.406637351242101e-01,  2.174326523383618e-01, -4.687556660992420e-04, -5.186033588526534e-02,  2.310580293698330e-01,  2.307550346467073e-01,  5.260348864975235e-01,  1.872242779681956e-02, -1.556270841920629e-04,  1.008230075405029e-04,  7.690148881504567e-02,  1.424503503298256e-01,  3.693011499549915e-01,  1.872242779681956e-02, -5.056993027069271e-04,  8.779228503501704e-02,  3.420482357108413e-01,  1.866428034160079e-02,  3.617241924345711e-02, -1.741317177858642e-02,  4.749324102287415e-04,  4.709018524252993e-02,  4.628458207740337e-01, -1.448713834271046e-01,  2.084311760926307e-02,  4.009640013093833e-01
