Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  7.500000000000000e-01,  1.069591865618631e-03, -3.957906984333578e-01,  2.063557163665586e-01,  9.255042466994608e-02,  8.034621363630738e-01,  1.077573071875319e-01, -1.789372869668243e-01,  4.830182686804200e-01,  5.204056204762094e-01,  1.047197556609107e+00, -2.579559809714073e-04,  7.160938508832258e-14,  3.438175799619358e-09
  7.600000000000000e-01,  1.069591865617175e-03, -3.957906984333575e-01,  2.063557163665491e-01,  9.255042466994251e-02,  8.034621363630761e-01,  1.077573071875317e-01, -1.789372886206116e-01,  4.830182747061698e-01,  5.204056200537136e-01,  1.047197556609140e+00, -2.579559991125965e-04,  5.806466418789570e-14,  3.431149142585355e-09
  7.700000000000000e-01,  1.069591867088868e-03, -3.957906984333758e-01,  2.063557163668779e-01,  9.255042467448887e-02,  8.034621363677132e-01,  1.077573071927459e-01, -1.789372886256176e-01,  4.830182747108686e-01,  5.204056200494231e-01,  1.047197556609108e+00, -2.579559785976366e-04,  3.819167204710538e-14,  3.429317385617025e-09
  7.800000000000000e-01,  1.069591866878065e-03, -3.957906984333177e-01,  2.063557163668643e-01,  9.255042467381924e-02,  8.034621363665402e-01,  1.077573071922769e-01, -1.789372846377320e-01,  4.830182601805523e-01,  5.204056210678168e-01,  1.047197556609001e+00, -2.579559841267564e-04,  1.216804434989172e-13,  3.431245287899287e-09
  7.900000000000000e-01,  1.069591865609674e-03, -3.957906984333589e-01,  2.063557163665236e-01,  9.255042466993151e-02,  8.034621363630764e-01,  1.077573071875305e-01, -1.789372886187273e-01,  4.830182746996233e-01,  5.204056200544549e-01,  1.047197556609226e+00, -2.579559827284873e-04,  2.442490654175344e-14,  3.435762618853033e-09
  7.999999999999999e-01,  1.069591865608107e-03, -3.957906984333586e-01,  2.063557163665160e-01,  9.255042466992948e-02,  8.034621363630752e-01,  1.077573071875339e-01, -1.789372856969094e-01,  4.830182640540279e-01,  5.204056208006766e-01,  1.047197556609252e+00, -2.579559848810755e-04,  1.398881011027697e-14,  3.441822604699497e-09
  8.100000000000001e-01,  1.069591865603405e-03, -3.957906984333585e-01,  2.063557163665090e-01,  9.255042466993069e-02,  8.034621363630778e-01,  1.077573071875354e-01, -1.789372886104736e-01,  4.830182746697442e-01,  5.204056200563424e-01,  1.047197556609276e+00, -2.579559803488318e-04,  3.996802888650564e-15,  3.448127450234040e-09
  8.200000000000001e-01,  1.069591865608330e-03, -3.957906984333580e-01,  2.063557163665058e-01,  9.255042466992734e-02,  8.034621363630804e-01,  1.077573071875378e-01, -1.789372829678663e-01,  4.830182541105809e-01,  5.204056214976971e-01,  1.047197556609289e+00, -2.579559808457152e-04, -2.886579864025407e-15,  3.453517305462840e-09
  8.300000000000000e-01,  1.069591865605868e-03, -3.957906984333583e-01,  2.063557163665060e-01,  9.255042466992704e-02,  8.034621363630776e-01,  1.077573071875368e-01, -1.789372852988454e-01,  4.830182626039556e-01,  5.204056209025935e-01,  1.047197556609289e+00, -2.579559876378075e-04, -6.772360450213456e-15,  3.457000352646844e-09
  8.400000000000000e-01,  1.069591865610457e-03, -3.957906984333576e-01,  2.063557163665109e-01,  9.255042466992899e-02,  8.034621363630802e-01,  1.077573071875387e-01, -1.789372783861667e-01,  4.830182374168454e-01,  5.204056226680077e-01,  1.047197556609274e+00, -2.579559914401044e-04, -2.886579864025407e-15,  3.457880148882707e-09
